id,combined_features,title
119914,"['titus', 'andronicus'] ['subdued', 'goths', 'warrior', 'titus', 'andronicus', 'returns', 'rome', 'bury', 'sons', 'gothic', 'queen', 'tamora', 'retinue', 'captives', 'roman', 'emperor', 'two', 'sons', 'saturninus', 'bassianus', 'competing', 'father', 'title', 'according', 'roman', 'custom', 'titus', 'sacrifices', 'tamora', 'eldest', 'gods', 'deciding', 'vote', 'also', 'chooses', 'saturninus', 'emperor', 'acts', 'tragic', 'consequences'] 10.0 ['Drama'] ['Drama'] ['Drama']",Titus Andronicus
64562,"['voices', 'rooms'] ['truman', 'capote', 'first', 'novel', 'coming', 'age', 'deep', 'south', 'centers', 'joel', 'sansom', 'david', 'speck', 'reunites', 'estranged', 'father', 'family', 'shabby', 'plantation', 'must', 'contend', 'father', 'feisty', 'mistress', 'strange', 'cousin', 'backdrop', 'joel', 'slowly', 'matures', 'upstanding', 'young', 'man'] 10.0 ['Drama'] ['Drama'] ['Drama']",Other Voices Other Rooms
186845,"['symphony', 'soil'] ['drawing', 'ancient', 'knowledge', 'cutting', 'edge', 'science', 'symphony', 'soil', 'artistic', 'exploration', 'miraculous', 'substance', 'soil', 'understanding', 'elaborate', 'relationships', 'mutuality', 'soil', 'water', 'atmosphere', 'plants', 'animals', 'come', 'appreciate', 'complex', 'dynamic', 'nature', 'precious', 'resource', 'film', 'also', 'examines', 'human', 'relationship', 'soil', 'use', 'misuse', 'soil', 'agriculture', 'deforestation', 'development', 'latest', 'scientific', 'research', 'soil', 'key', 'role', 'ameliorating', 'challenging', 'environmental', 'issues', 'time', 'filmed', 'four', 'continents', 'featuring', 'esteemed', 'scientists', 'working', 'farmers', 'ranchers', 'symphony', 'soil', 'intriguing', 'presentation', 'highlights', 'possibilities', 'healthy', 'soil', 'creating', 'healthy', 'plants', 'creating', 'healthy', 'humans', 'living', 'healthy', 'planet'] 10.0 ['Documentary' 'Adventure'] ['Documentary' 'Adventure'] ['Documentary' 'Adventure']",Symphony of the Soil
202727,"['cattle', 'town'] ['director', 'noel', 'smith', 'western', 'stars', 'dennis', 'morgan', 'philip', 'carey', 'amanda', 'blake', 'rita', 'moreno'] 10.0 ['Western'] ['Western'] ['Western']",Cattle Town
243934,"['pin', 'boy'] ['country', 'boy', 'tries', 'find', 'place', 'buenos', 'aires', 'goes', 'live', 'cousin', 'outer', 'suburbs', 'works', 'parapalos', 'pin', 'setter', 'one', 'city', 'last', 'bowling', 'alleys'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Pin Boy
177869,"['survive', 'advance'] ['nc', 'state', 'wolfpack', 'coached', 'jim', 'valvano', 'stayed', 'alive', 'postseason', 'winning', 'nine', 'games', 'row', 'seven', 'losing', 'final', 'minute', 'beating', 'likes', 'michael', 'jordan', 'national', 'player', 'year', 'ralph', 'sampson', 'unlikely', 'squad', 'made', 'national', 'championship', 'game', 'houston', 'aka', 'phi', 'slama', 'jama', 'team', 'featuring', 'future', 'nba', 'top', 'players', 'hakeem', 'olajuwon', 'clyde', 'drexler', 'nc', 'state', 'one', 'biggest', 'underdogs', 'ever', 'final', 'game', 'one', 'went', 'possibly', 'best', 'college', 'basketball', 'game', 'one', 'plays', 'time'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Survive and Advance
42173,"['chilly', 'scenes', 'winter'] ['man', 'falls', 'separated', 'woman', 'ca', 'cope', 'returns', 'husband'] 10.0 ['Comedy' 'Romance' 'Drama'] ['Comedy' 'Romance' 'Drama'] ['Comedy' 'Romance' 'Drama']",Chilly Scenes of Winter
84275,"['dragon', 'lives'] ['everyone', 'favorite', 'martial', 'artist', 'bruce', 'winds', 'fighting', 'life', 'soul', 'hell', 'evil', 'warlord', 'intent', 'making', 'mincemeat', 'recruited', 'iconic', 'characters', 'help', 'dispatch', 'great', 'one', 'wo', 'trick', 'uses', 'monsters', 'mummies', 'beautiful', 'women', 'get', 'little', 'dragon', 'cost'] 10.0 ['Fantasy' 'Action'] ['Fantasy' 'Action'] ['Fantasy' 'Action']",The Dragon Lives Again
195651,"['misadventures', 'margaret'] ['timid', 'insecure', 'popular', 'author', 'professor', 'husband', 'decide', 'write', 'erotic', 'novel', 'encouragement', 'sister', 'friend', 'goes', 'france', 'intent', 'research', 'inn', 'diary', 'using', 'documented', 'erotic', 'encounters', 'instead', 'finds', 'inn', 'cloister', 'singing', 'nuns', 'however', 'young', 'divorced', 'sound', 'engineer', 'also', 'taping', 'nuns', 'attracted', 'mostly', 'succumbs', 'new', 'fantasies', 'follows', 'home', 'new', 'york'] 10.0 ['Comedy' 'Romance'] ['Comedy' 'Romance'] ['Comedy' 'Romance']",The Misadventures of Margaret
157862,"['growing', 'pains'] ['four', 'teens', 'run', 'orphanage', 'spring', 'fellow', 'orphan', 'recently', 'adopted', 'rich', 'family', 'trash', 'whole', 'house'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",Growing Pains
107231,"['ticklish', 'affair'] ['young', 'widow', 'amy', 'martin', 'three', 'young', 'boys', 'investigated', 'navy', 'one', 'children', 'inadvertently', 'sends', 'distress', 'signal', 'morse', 'code', 'blinds', 'upstairs', 'bedroom', 'window', 'commander', 'weedon', 'crew', 'observe', 'signal', 'ship', 'investigates', 'falls', 'young', 'mother', 'proposes', 'marriage', 'however', 'reluctant', 'family', 'live', 'suitcase', 'initially', 'declines', 'gramps', 'tries', 'bring', 'board', 'sail', 'love', 'commander'] 10.0 ['Comedy' 'Romance'] ['Comedy' 'Romance'] ['Comedy' 'Romance']",A Ticklish Affair
