id,combined_features,title
115153,"['kismat'] ['tony', 'works', 'gangster', 'vikas', 'patil', 'owes', 'allegiance', 'wealthy', 'raj', 'mallya', 'raj', 'mallya', 'involved', 'marketing', 'spurious', 'drugs', 'result', 'subject', 'investigation', 'food', 'amp', 'drugs', 'administration', 'inspector', 'hargobind', 'gosai', 'raj', 'asks', 'vikas', 'take', 'care', 'hargobind', 'tony', 'tony', 'manner', 'raj', 'absolved', 'tony', 'meets', 'attractive', 'starlet', 'named', 'sapna', 'falls', 'head', 'heels', 'love', 'sapna', 'tells', 'engaged', 'married', 'ajay', 'saxena', 'scandal', 'breaks', 'hargobind', 'implicated', 'deaths', 'three', 'children', 'killed', 'raj', 'spurious', 'drugs', 'evidence', 'points', 'hargobind', 'single', 'lawyer', 'willing', 'take', 'case', 'wife', 'kills', 'marriage', 'daughter', 'canceled'] 5.5 ['Action' 'Romance' 'Foreign' 'Drama'] ['Action' 'Romance' 'Foreign' 'Drama'] ['Action' 'Romance' 'Foreign' 'Drama']",Kismat
551,"['poseidon', 'adventure'] ['poseidon', 'adventure', 'one', 'first', 'catastrophe', 'films', 'began', 'disaster', 'film', 'genre', 'director', 'neame', 'tells', 'story', 'group', 'people', 'must', 'fight', 'lives', 'aboard', 'sinking', 'ship', 'based', 'novel', 'paul', 'gallico'] 7.3 ['Action' 'Adventure'] ['Action' 'Adventure'] ['Action' 'Adventure']",The Poseidon Adventure
297865,"['santa', 'muerte'] ['two', 'stories', 'people', 'life', 'changed', 'joining', 'cult', 'santa', 'muerte', 'better', 'worse'] 3.5 ['SinDato'] ['SinDato'] ['SinDato']",La Santa Muerte
38866,"['strangers'] ['three', 'women', 'confront', 'pasts', 'changes', 'futures'] 7.0 ['Drama'] ['Drama'] ['Drama']",Between Strangers
10341,"['end', 'world'] ['end', 'world', 'odyssey', 'modern', 'age', 'homer', 'odyssey', 'purpose', 'journey', 'restore', 'sight', 'spiritual', 'reconciliation', 'obsessed', 'father', 'deserted', 'farber', 'trying', 'find', 'cure', 'wife', 'blindness', 'created', 'device', 'allows', 'user', 'send', 'images', 'directly', 'brain', 'enabling', 'blind', 'see'] 6.3 ['Action' 'ScienceFiction' 'Thriller' 'Drama'] ['Action' 'ScienceFiction' 'Thriller' 'Drama'] ['Action' 'ScienceFiction' 'Thriller' 'Drama']",Until the End of the World
126759,"['address', 'unknown'] ['us', 'art', 'dealer', 'returns', 'native', 'germany', 'visit', 'attracted', 'nazi', 'propaganda'] 3.2 ['Drama'] ['Drama'] ['Drama']",Address Unknown
363480,"['christmas', 'incorporated'] ['sometimes', 'life', 'seems', 'hand', 'exactly', 'need', 'particularly', 'christmastime', 'new', 'yuletide', 'original', 'riley', 'scraping', 'bottom', 'miraculously', 'lands', 'job', 'wealthy', 'new', 'york', 'city', 'entrepreneur', 'socialite', 'type', 'poised', 'play', 'scrooge', 'closing', 'one', 'factories', 'christmas', 'would', 'devastate', 'entire', 'town', 'left', 'riley', 'talk', 'turn', 'man', 'virtue', 'rather', 'shame', 'case', 'mistaken', 'identity', 'ruin', 'whole', 'plan'] 6.4 ['TVMovie' 'Drama'] ['TVMovie' 'Drama'] ['TVMovie' 'Drama']",Christmas Incorporated
84283,"['hipster'] ['things', 'looking', 'good', 'brook', 'young', 'talented', 'become', 'clichéd', 'tortured', 'artist', 'slow', 'come', 'terms', 'death', 'mother', 'brook', 'aggressive', 'major', 'obstruction', 'career', 'success', 'isolation', 'lifted', 'three', 'sisters', 'estranged', 'father', 'come', 'spread', 'mother', 'ashes', 'brook', 'loving', 'sisters', 'magical', 'effect', 'anger', 'apathy', 'suggesting', 'may', 'hope', 'misanthropic', 'musician'] 4.8 ['Drama'] ['Drama'] ['Drama']",I Am Not a Hipster
4552,"['tale', 'two', 'sisters'] ['recently', 'released', 'patient', 'mental', 'institution', 'returns', 'home', 'sister', 'face', 'disturbing', 'events', 'stepmother', 'ghosts', 'haunting', 'connected', 'dark', 'past', 'family', 'history'] 7.0 ['Mystery' 'Horror' 'Drama'] ['Mystery' 'Horror' 'Drama'] ['Mystery' 'Horror' 'Drama']",A Tale of Two Sisters
123360,"['journals', 'jean', 'seberg'] ['mark', 'rappaport', 'creative', 'actress', 'jean', 'seberg', 'presented', 'autobiographical', 'format', 'seberg', 'played', 'mary', 'beth', 'hurt', 'seamlessly', 'interweaves', 'cinema', 'politics', 'american', 'society', 'culture', 'film', 'theory', 'inform', 'entertain', 'move', 'viewer', 'seberg', 'many', 'marriages', 'well', 'film', 'roles', 'discussed', 'extensively', 'involvement', 'black', 'panther', 'movement', 'subsequent', 'investigation', 'fbi', 'covered', 'notably', 'details', 'french', 'new', 'wave', 'cinema', 'russian', 'expressionist', 'silent', 'films', 'careers', 'jane', 'fonda', 'vanessa', 'redgrave', 'clint', 'eastwood', 'also', 'intensively', 'examined', 'much', 'film', 'based', 'conjecture', 'rappaport', 'encourages', 'viewers', 'ideas', 'women', 'film', 'picture'] 6.5 ['Documentary'] ['Documentary'] ['Documentary']",From the Journals of Jean Seberg
65460,"['carnosaur'] ['team', 'scientists', 'go', 'nuclear', 'mining', 'facility', 'investigate', 'possible', 'meltdown', 'instead', 'find', 'large', 'amount', 'cloned', 'dinosaurs'] 4.8 ['Horror' 'ScienceFiction'] ['Horror' 'ScienceFiction'] ['Horror' 'ScienceFiction']",Carnosaur 2
49687,"['marriage', 'italian', 'style'] ['naples', 'second', 'world', 'war', 'wolf', 'businessman', 'domenico', 'soriano', 'meets', 'seventeen', 'years', 'old', 'whore', 'filumena', 'marturano', 'brothel', 'allied', 'bombing', 'two', 'years', 'later', 'meet', 'chance', 'begin', 'long', 'affair', 'years', 'filumena', 'mistress', 'administrates', 'shops', 'naples', 'domenico', 'traveling', 'domenico', 'decides', 'marry', 'young', 'cashier', 'bakery', 'filumena', 'lures', 'near', 'death', 'marries', 'later', 'annuls', 'matrimony', 'tells', 'three', 'sons', 'raised', 'secretly', 'one', 'legitimate', 'disclose', 'identity', 'domenico', 'uses', 'different', 'subterfuges', 'trying', 'find', 'teenager', 'might'] 7.8 ['Comedy' 'Romance' 'Drama'] ['Comedy' 'Romance' 'Drama'] ['Comedy' 'Romance' 'Drama']",Marriage Italian Style
209901,"['nothing', 'left', 'fear'] ['nothing', 'left', 'fear', 'inspired', 'legend', 'stull', 'kansas', 'wendy', 'anne', 'heche', 'husband', 'dan', 'james', 'tupper', 'revenge', 'kids', 'moved', 'small', 'town', 'stull', 'kansas', 'dan', 'new', 'pastor', 'sleepy', 'community', 'friendly', 'neighbors', 'horrific', 'series', 'occurrences', 'awaits', 'teenage', 'daughter', 'rebekah', 'brandes', 'bellflower', 'tormented', 'grisly', 'visions', 'younger', 'sister', 'jennifer', 'stone', 'wizards', 'waverly', 'place', 'marked', 'depraved', 'ritual', 'deep', 'within', 'heartland', 'darkness', 'one', 'seven', 'gates', 'hell', 'demands', 'blood', 'innocent', 'unleash', 'creatures', 'damned'] 4.6 ['Horror'] ['Horror'] ['Horror']",Nothing Left to Fear
44639,"['inside', 'job'] ['film', 'exposes', 'shocking', 'truth', 'behind', 'economic', 'crisis', 'global', 'financial', 'meltdown', 'cost', 'trillion', 'resulted', 'millions', 'people', 'losing', 'homes', 'jobs', 'extensive', 'research', 'interviews', 'major', 'financial', 'insiders', 'politicians', 'journalists', 'inside', 'job', 'traces', 'rise', 'rogue', 'industry', 'unveils', 'corrosive', 'relationships', 'corrupted', 'politics', 'regulation', 'academia'] 7.7 ['Documentary'] ['Documentary'] ['Documentary']",Inside Job
